"Sciname","EwE_num","EwE_name","Common","Genus","Species","Key","ID_sp","AspectRatio","CommonLength"
"scomberomorus cavalla","21,22","King mackerel (0-1yr)","king mackerel","scomberomorus","cavalla","Fis-22819","Sp_129",5.81506,70
"pristis pectinata","25","Skates-rays","sawfish, smalltooth","pristis","pectinata","Fis-47467","Sp_140",1.11582,550
"pristis pristis","25","Skates-rays","largetooth sawfish","pristis","pristis","Fis-27224 | Fis-30521 | Fis-32599 | Fis-47336 | Fis-47467 | W-Bry-470866 | W-Hyd-220588","Sp_136",1.11582,250
"mycteroperca microlepis","26,27","Gag grouper (0-3yr)","gag","mycteroperca","microlepis","Fis-23649","Sp_160",1.43463,50
"epinephelus morio","28,29","Red grouper (0-3yr)","grouper, red","epinephelus","morio","Fis-22721","Sp_161",1.185605,50
"hyporthodus flavolimbatus","30,31","Yellowedge grouper (0-3yr)","yellowedge grouper (age 0-3)","hyporthodus","flavolimbatus","Fis-163777","Sp_162",1.242165,50
"epinephelus itajara","32","Goliath grouper","goliath grouper","epinephelus","itajara","Fis-22720","Sp_163",1.18781,150
"hyporthodus niveatus","33","Deep-water grouper","snowy grouper","hyporthodus","niveatus","Fis-163781","Sp_166",1.262028,60
"cephalopholis cruentata","34","Shallow-water grouper","graysby","cephalopholis","cruentata","Fis-22703","Sp_175",2.42931,20
"epinephelus adscensionis","34","Shallow-water grouper","hind, rock","epinephelus","adscensionis","Fis-22704","Sp_171",1.1998225,35
"mycteroperca interstitialis","34","Shallow-water grouper","grouper, yellowmouth","mycteroperca","interstitialis","Fis-23648","Sp_170",1.275185,40
"mycteroperca phenax","34","Shallow-water grouper","scamp","mycteroperca","phenax","Fis-30327","Sp_173",1.508025,30
"mycteroperca tigris","34","Shallow-water grouper","tiger grouper","mycteroperca","tigris","Fis-23651","Sp_174",1.39914,40
"mycteroperca venenosa","34","Shallow-water grouper","grouper, yellowfin","mycteroperca","venenosa","Fis-23652","Sp_169",1.325203333,50
"lutjanus campechanus","35,36,37","Red snapper (0yr)","red snapper","lutjanus","campechanus","Fis-23622","Sp_177",1.43242,60
"rhomboplites aurorubens","38","Vermilion snapper","snapper, vermilion","rhomboplites","aurorubens","Fis-22946","Sp_178",2.772,35
"lutjanus analis","39","Mutton snapper","mutton snapper","lutjanus","analis","Fis-23611","Sp_179",1.6903,50
"apsilus dentatus","40","Other snapper","black snapper","apsilus","dentatus","Fis-22219","Sp_180",2.06907,40
"etelis oculatus","40","Other snapper","queen snapper","etelis","oculatus","Fis-23494","Sp_186",1.458,64
"lutjanus buccanella","40","Other snapper","blackfin snapper","lutjanus","buccanella","Fis-23621","Sp_181",1.0181,50
"lutjanus cyanopterus","40","Other snapper","cubera snapper","lutjanus","cyanopterus","Fis-23625","Sp_182",2.25197,90
"lutjanus griseus","40","Other snapper","gray snapper","lutjanus","griseus","Fis-22895","Sp_184",1.77717,40
"lutjanus jocu","40","Other snapper","dog snapper","lutjanus","jocu","Fis-22781","Sp_183",1.38693,60
"lutjanus mahogoni","40","Other snapper","mahogany snapper","lutjanus","mahogoni","Fis-22787","Sp_185",2.01138,38
"lutjanus purpureus","40","Other snapper","snapper caribbean red","lutjanus","purpureus","Fis-22220","Sp_188",1.58402,65
"lutjanus vivanus","40","Other snapper","silk snapper","lutjanus","vivanus","Fis-22802","Sp_187",0.594011,45
"pristipomoides aquilonaris","40","Other snapper","wenchman","pristipomoides","aquilonaris","Fis-22810","Sp_189",3.31596,20
"cynoscion arenarius","42","Sea trout","sand seatrout","cynoscion","arenarius","Fis-29882","Sp_194",1.1701,35
"cynoscion jamaicensis","42","Sea trout","jamaican weakfish","cynoscion","jamaicensis","Fis-23457","Sp_199",1.53201,35
"cynoscion nebulosus","42","Sea trout","seatrout, spotted","cynoscion","nebulosus","Fis-23098","Sp_195",1.48035,36
"cynoscion nothus","42","Sea trout","silver seatrout","cynoscion","nothus","Fis-23460","Sp_196",1.14626,25
"cynoscion regalis","42","Sea trout","weakfish","cynoscion","regalis","Fis-23099","Sp_197",1.4529,50
"alepisaurus ferox","43","Oceanic piscivores","longnose lancetfish","alepisaurus","ferox","Fis-29263","Sp_205",1.611065,150
"brama caribbea","43","Oceanic piscivores","caribbean pomfret","brama","caribbea","Fis-22216","Sp_208",0.499286,21.8
"gempylus serpens","43","Oceanic piscivores","snake mackerel","gempylus","serpens","Fis-30041","Sp_203",1.47497,60
"lepidocybium flavobrunneum","43","Oceanic piscivores","escolar","lepidocybium","flavobrunneum","Fis-23582","Sp_211",5.26363,150
"merluccius albidus","43","Oceanic piscivores","offshore hake","merluccius","albidus","Fis-23634","Sp_214",1.60087,30
"ruvettus pretiosus","43","Oceanic piscivores","oilfish","ruvettus","pretiosus","Fis-30588","Sp_218",2.13546,150
"taractes rubescens","43","Oceanic piscivores","pomfret","taractes","rubescens","Fis-27813","Sp_219",3.20198,30
"trichiurus lepturus","43","Oceanic piscivores","atlantic cutlassfish","trichiurus","lepturus","Fis-30742","Sp_201",1.3545,100
"cyclopsetta chittendeni","44","Benthic piscivores","mexican flounder","cyclopsetta","chittendeni","Fis-29360","Sp_241",1.22829,25
"cyclopsetta fimbriata","44","Benthic piscivores","spotfin flounder","cyclopsetta","fimbriata","Fis-24533","Sp_238",1.20408,25
"paralichthys albigutta","44","Benthic piscivores","gulf flounder","paralichthys","albigutta","Fis-29470","Sp_228",1.475535,35
"paralichthys lethostigma","44","Benthic piscivores","southern flounder","paralichthys","lethostigma","Fis-29471","Sp_237",1.09752,50
"saurida brasiliensis","44","Benthic piscivores","largescale lizardfish","saurida","brasiliensis","Fis-30603","Sp_230",1.58273,15
"saurida normani","44","Benthic piscivores","shortjaw lizardfish","saurida","normani","Fis-30605","Sp_252",2.54076,30
"synodus foetens","44","Benthic piscivores","inshore lizardfish","synodus","foetens","Fis-24362","Sp_229",1.88281,30
"synodus intermedius","44","Benthic piscivores","sand diver","synodus","intermedius","Fis-24363","Sp_233",1.56079,40
"synodus synodus","44","Benthic piscivores","red lizardfish","synodus","synodus","Fis-134146 | Fis-142912 | Fis-171604 | Fis-24362 | Fis-24363 | Fis-24364 | Fis-24365 | Fis-25602 | Fis-26525 | Fis-26776 | Fis-30706 | Fis-32290 | Fis-32337 | Fis-32591 | Fis-32592 | Fis-32722 | Fis-32759 | Fis-33869 | Fis-34110 | Fis-34111 | Fis-34112 | Fis-34131 | Fis-35278 | Fis-35406 | Fis-35747 | Fis-35750 | Fis-35751 | Fis-55988","Sp_232",1.82809,20
"holocentrus adscensionis","45","Reef piscivores","squirrelfish","holocentrus","adscensionis","Fis-21249","Sp_269",2.109165,25
"holocentrus rufus","45","Reef piscivores","longspine squirrelfish","holocentrus","rufus","Fis-23554","Sp_265",2.31449,25
"myripristis jacobus","45","Reef piscivores","blackbar soldierfish","myripristis","jacobus","Fis-30333","Sp_275",2.76841,20
"anisotremus surinamensis","46","Reef invertebrate feeders","black margate","anisotremus","surinamensis","Fis-23367","Sp_283",2.21793,45
"anisotremus virginicus","46","Reef invertebrate feeders","porkfish","anisotremus","virginicus","Fis-23368","Sp_312",1.77369,25
"archosargus probatocephalus","46","Reef invertebrate feeders","sheepshead","archosargus","probatocephalus","Fis-23013","Sp_327",1.44066,35
"archosargus rhomboidalis","46","Reef invertebrate feeders","sea bream","archosargus","rhomboidalis","Fis-23374","Sp_326",2.34927,20
"aulostomus maculatus","46","Reef invertebrate feeders","trumpetfish","aulostomus","maculatus","Fis-29301","Sp_343",1.2398,60
"bodianus pulchellus","46","Reef invertebrate feeders","spotfin hogfish","bodianus","pulchellus","Fis-23396","Sp_338",1.4208,18
"bodianus rufus","46","Reef invertebrate feeders","spanish hogfish","bodianus","rufus","Fis-23397","Sp_336",1.61543,28
"calamus bajonado","46","Reef invertebrate feeders","jolthead porgy","calamus","bajonado","Fis-23403","Sp_302",2.73233,54
"calamus calamus","46","Reef invertebrate feeders","saucereye porgy","calamus","calamus","Fis-22263 | Fis-23403 | Fis-23404 | Fis-23405 | Fis-24473 | Fis-26853 | Fis-29744 | Fis-29746 | Fis-29747 | Fis-29748 | Fis-29749 | W-Msc-344507","Sp_321",3.01125,30
"calamus leucosteus","46","Reef invertebrate feeders","porgy, whitebone","calamus","leucosteus","Fis-29747","Sp_311",2.52755,30
"calamus nodosus","46","Reef invertebrate feeders","knobbed porgy","calamus","nodosus","Fis-29748","Sp_303",3.70011,35
"calamus pennatula","46","Reef invertebrate feeders","sheepshead porgy","calamus","pennatula","Fis-22263","Sp_329",3.79916,30
"calamus proridens","46","Reef invertebrate feeders","littlehead porgy","calamus","proridens","Fis-29749","Sp_306",2.75681,37
"centropristis striata","46","Reef invertebrate feeders","black sea bass","centropristis","striata","Fis-22858","Sp_284",1.0318845,30
"decodon puellaris","46","Reef invertebrate feeders","red hogfish","decodon","puellaris","Fis-24537","Sp_315",1.48092,22
"equetus lanceolatus","46","Reef invertebrate feeders","jackknife-fish","equetus","lanceolatus","Fis-24559","Sp_301",1.1987,15
"haemulon album","46","Reef invertebrate feeders","margate","haemulon","album","Fis-22232","Sp_307",2.73664,50
"haemulon aurolineatum","46","Reef invertebrate feeders","tomtate","haemulon","aurolineatum","Fis-30084","Sp_342",2.10255,18
"haemulon bonariense","46","Reef invertebrate feeders","black grunt","haemulon","bonariense","Fis-22234","Sp_364",2.558075,30
"haemulon carbonarium","46","Reef invertebrate feeders","caesar grunt","haemulon","carbonarium","Fis-22235","Sp_292",2.67007,20
"haemulon chrysargyreum","46","Reef invertebrate feeders","smallmouth grunt","haemulon","chrysargyreum","Fis-22236","Sp_333",1.44823,17
"haemulon flavolineatum","46","Reef invertebrate feeders","french grunt","haemulon","flavolineatum","Fis-23525","Sp_297",2.310482917,17
