"EwE_num","EwE_name","Common","Sciname","Genus","Species","ID_sp"
"9","Large coastal sharks","tiger shark","galeocerdo cuvieri","galeocerdo","cuvieri","Sp_075"
"10","Large oceanic sharks","blue shark","prionace glauca","prionace","glauca","Sp_076"
"10","Large oceanic sharks","oceanic whitetip shark","carcharhinus longimanus","carcharhinus","longimanus","Sp_077"
"10","Large oceanic sharks","shark, bigeye thresher","alopias superciliosus","alopias","superciliosus","Sp_078"
"10","Large oceanic sharks","shark, longfin mako","isurus paucus","isurus","paucus","Sp_079"
"10","Large oceanic sharks","shark, porbeagle","lamna nasus","lamna","nasus","Sp_080"
"10","Large oceanic sharks","shark, shortfin mako","isurus oxyrinchus","isurus","oxyrinchus","Sp_081"
"10","Large oceanic sharks","shark, thresher","alopias vulpinus","alopias","vulpinus","Sp_082"
"10","Large oceanic sharks","shortfin mako","isurus oxyrinchus","isurus","oxyrinchus","Sp_083"
"10","Large oceanic sharks","thresher shark","alopias vulpinus","alopias","vulpinus","Sp_084"
"10","Large oceanic sharks","bigeye thresher","alopias superciliosus","alopias","superciliosus","Sp_085"
"10","Large oceanic sharks","common thresher shark","alopias vulpinus","alopias","vulpinus","Sp_086"
"10","Large oceanic sharks","great white shark","carcharodon carcharias","carcharodon","carcharias","Sp_087"
"10","Large oceanic sharks","porbeagle","lamna nasus","lamna","nasus","Sp_088"
"11","Atlantic sharpnose shark","atlantic sharpnose shark","rhizoprionodon terraenovae","rhizoprionodon","terraenovae","Sp_089"
"11","Atlantic sharpnose shark","shark, atlantic sharpnose","rhizoprionodon terraenovae","rhizoprionodon","terraenovae","Sp_090"
"11","Atlantic sharpnose shark","milk shark","rhizoprionodon acutus","rhizoprionodon","acutus","Sp_091"
"12","Small coastal sharks","black dogfish","centroscyllium fabricii","centroscyllium","fabricii","Sp_092"
"12","Small coastal sharks","blacknose shark","carcharhinus acronotus","carcharhinus","acronotus","Sp_093"
"12","Small coastal sharks","finetooth shark","carcharhinus isodon","carcharhinus","isodon","Sp_094"
"12","Small coastal sharks","florida smoothhound","mustelus norrisi","mustelus","norrisi","Sp_095"
"12","Small coastal sharks","shark, blacknose","carcharhinus acronotus","carcharhinus","acronotus","Sp_096"
"12","Small coastal sharks","shark, finetooth","carcharhinus isodon","carcharhinus","isodon","Sp_097"
"12","Small coastal sharks","smalltail shark","carcharhinus porosus","carcharhinus","porosus","Sp_098"
"12","Small coastal sharks","smooth dogfish","mustelus canis","mustelus","canis","Sp_099"
"12","Small coastal sharks","spiny dogfish","squalus acanthias","squalus","acanthias","Sp_100"
"12","Small coastal sharks","blackspot shark","carcharhinus sealei","carcharhinus","sealei","Sp_101"
"12","Small coastal sharks","soupfin shark","galeorhinus galeus","galeorhinus","galeus","Sp_102"
"12","Small coastal sharks","gummy shark","mustelus antarcticus","mustelus","antarcticus","Sp_103"
"12","Small coastal sharks","common smoothhound","mustelus mustelus","mustelus","mustelus","Sp_104"
"12","Small coastal sharks","whitespot smoothhound","mustelus palumbes","mustelus","palumbes","Sp_105"
"12","Small coastal sharks","narrownose smoothhound","mustelus schmitti","mustelus","schmitti","Sp_106"
"12","Small coastal sharks","smoothhound","mustelus sp","mustelus","sp","Sp_107"
"12","Small coastal sharks","port jackson shark","peterodontus portusjacksoni","peterodontus","portusjacksoni","Sp_108"
"12","Small coastal sharks","small requiem shark","rhizoprionodon sp","rhizoprionodon","sp","Sp_109"
"12","Small coastal sharks","shortnose spurdog","squalus megalops","squalus","megalops","Sp_110"
"12","Small coastal sharks","dogfish","squalus sp","squalus","sp","Sp_111"
"12","Small coastal sharks","sharptooth houndshark","triakis megalopterus","triakis","megalopterus","Sp_112"
"13","Yellowfin tuna","tuna, yellowfin","thunnus albacares","thunnus","albacares","Sp_113"
"13","Yellowfin tuna","yellowfin tuna","thunnus albacares","thunnus","albacares","Sp_114"
"14","Bluefin tuna","bluefin tuna","thunnus thynnus","thunnus","thynnus","Sp_115"
"14","Bluefin tuna","tuna, bluefin","thunnus thynnus","thunnus","thynnus","Sp_116"
"14","Bluefin tuna","southern bluefin tuna","thunnus maccoyii","thunnus","maccoyii","Sp_117"
"14","Bluefin tuna","atlantic bluefin tuna","thunnus thynnus","thunnus","thynnus","Sp_118"
"15","Other tunas","albacore","thunnus alalunga","thunnus","alalunga","Sp_119"
"15","Other tunas","bigeye tuna","thunnus obesus","thunnus","obesus","Sp_120"
"15","Other tunas","blackfin tuna","thunnus atlanticus","thunnus","atlanticus","Sp_121"
"15","Other tunas","skipjack tuna","euthynnus pelamis","euthynnus","pelamis","Sp_122"
"15","Other tunas","skipjack tuna","katsuwonus pelamis","katsuwonus","pelamis","Sp_123"
"15","Other tunas","tuna, albacore","thunnus alalunga","thunnus","alalunga","Sp_124"
"15","Other tunas","tuna, bigeye","thunnus obesus","thunnus","obesus","Sp_125"
"15","Other tunas","tuna, blackfin","thunnus atlanticus","thunnus","atlanticus","Sp_126"
"15","Other tunas","tuna, skipjack","euthynnus pelamis","euthynnus","pelamis","Sp_127"
"15","Other tunas","albacore tuna","thunnus alalunga","thunnus","alalunga","Sp_128"
"16","Billfish","blue marlin","makaira nigricans","makaira","nigricans","Sp_129"
"16","Billfish","longbill spearfish","tetrapturus pfluegeri","tetrapturus","pfluegeri","Sp_130"
"16","Billfish","marlin, blue","makaira nigricans","makaira","nigricans","Sp_131"
"16","Billfish","marlin, white","tetrapturus albidus","tetrapturus","albidus","Sp_132"
"16","Billfish","sailfish","istiophorus platypterus","istiophorus","platypterus","Sp_133"
"16","Billfish","white marlin","tetrapturus albidus","tetrapturus","albidus","Sp_134"
"16","Billfish","atlantic sailfish","istiophorus albicans","istiophorus","albicans","Sp_135"
"16","Billfish","sailfish","istiophorus orientalis","istiophorus","orientalis","Sp_136"
"16","Billfish","indo-pacific sailfish","istiophorus platypterus","istiophorus","platypterus","Sp_137"
"16","Billfish","shortbill spearfish","tetrapturus anguistirostris","tetrapturus","anguistirostris","Sp_138"
"16","Billfish","striped marlin","tetrapturus audax","tetrapturus","audax","Sp_139"
"17","Swordfish","swordfish","xiphias gladius","xiphias","gladius","Sp_140"
"17","Swordfish","swordfish","xiphias gladias","xiphias","gladias","Sp_141"
"18","Pelagic coastal piscivores","agujon","tylosurus acus","tylosurus","acus","Sp_142"
"18","Pelagic coastal piscivores","almaco jack","seriola rivoliana","seriola","rivoliana","Sp_143"
"18","Pelagic coastal piscivores","atlantic bonito","sarda sarda","sarda","sarda","Sp_144"
"18","Pelagic coastal piscivores","atlantic mackerel","scomber scombrus","scomber","scombrus","Sp_145"
"18","Pelagic coastal piscivores","atlantic needlefish","strongylura marina","strongylura","marina","Sp_146"
"18","Pelagic coastal piscivores","atlantic tarpon","megalops atlanticus","megalops","atlanticus","Sp_147"
"18","Pelagic coastal piscivores","banded rudderfish","seriola zonata","seriola","zonata","Sp_148"
"18","Pelagic coastal piscivores","bar jack","caranx ruber","caranx","ruber","Sp_149"
"18","Pelagic coastal piscivores","bass, striped","morone saxatilis","morone","saxatilis","Sp_150"
"18","Pelagic coastal piscivores","black jack","caranx lugubris","caranx","lugubris","Sp_151"
"18","Pelagic coastal piscivores","blue runner","caranx crysos","caranx","crysos","Sp_152"
