Sciname,Genus,Species,Common,Subfamily,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,Vulnerability,MaxLength,CommonLength,MaxWeight,SpecCode,Loo,K,to,Winfinity,Wmax,Lmax,tmax,a,b,Lmat,Amat,AspectRatio,Neritic,SupraLittoralZone,Saltmarshes,LittoralZone,TidePools,Intertidal,SubLittoral,Caves,Oceanic,Epipelagic,Mesopelagic,Bathypelagic,Abyssopelagic,Hadopelagic,Estuaries,Mangroves,MarshesSwamps,CaveAnchialine,Stream,Lakes,Cave,Cave2,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,Shoaling,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,Gravel,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,ReefExclusive,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,Verterbrates,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Herbivory2,FeedingType,DietTroph,DietTLu,FoodTroph,benth.crust.,cnidarians,detritus,finfish,molluscs,other.plants,others,plank.crust.,sponges.tunicates,worms,cephalopods,herps,other.benth.invertebrates,other.plank.invertebrates,jellyfish.hydroids,echinoderms,other.plank.Invertebrates,fish.early.stages.,insects,mammals,birds,phytoplankton,benth.Crust.,plank.Crust.,Family,Trophic.Level,h,d,f,QB1,QB2,M.Pauly,M.Ralston,M.Jensen
Acanthurus bahianus,Acanthurus,bahianus,Ocean surgeon,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,2,40,20,38.1,25,NA,942,39.79131288,0.157894737,NA,1144.049935,NA,21.1275,19,0.0259,2.9036,15.5,NA,2.42851,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,2,2,0,0,0,0,0,100.0000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acanthuridae,2,1,0,1,27.44684616,28.01672084,0.460339282,0.322521053,0.236842105
Acanthurus randalli,Acanthurus,randalli,Gulf surgeonfish,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,1,20,18.85,18,NA,NA,3905,19.02451843,0.555322717,NA,154.6172857,NA,NA,NA,0.027969048,2.925459524,NA,NA,1.32001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,0.100000004,0.033333334,8.421666463,0,0.016666667,89.8133359,0,0,0,0.080000001,0,0,0.513333337,1.006666629,0,0.015000001,0,0,0,0,0,0,0,0,Acanthuridae,2,0.898133338,0.084216663,0.982350001,31.85123311,29.96741739,1.280872818,1.581851092,0.832984075
Centropyge argi,Centropyge,argi,Cherubfish,NA,short and / or deep,0,0,-1,reef-associated,non-migratory,5,80,12.93,8,NA,NA,3607,8.565068807,0.869610915,NA,16.63280886,NA,NA,NA,0.02951,2.9494,NA,NA,1.18472,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pomacanthidae,2,1,0,1,51.29838261,45.4459993,2.141949945,2.577736106,1.304416373
Coryphopterus eidolon,Coryphopterus,eidolon,Pallid goby,Gobiinae,fusiform / normal,0,0,-1,reef-associated,NA,6,30,13.37,6,NA,NA,3843,6.45325231,1.019586613,NA,2.853806097,NA,NA,NA,0.01298,2.892333333,NA,NA,1.0824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,NA,NA,2,20,0,0,0,10,50,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,Gobiidae,2,0.5,0,0.5,39.0644311,32.97238869,2.570558116,3.052964101,1.52937992
Cryptotomus roseus,Cryptotomus,roseus,Bluelip parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,NA,60,12.01,13,10,NA,3674,13.81120759,0.664828356,NA,42.32347442,NA,NA,NA,0.0078,3.2752,NA,NA,1.11485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,1.574405341,1.928841611,0.997242534
Kyphosus incisor,Kyphosus,incisor,Yellow sea chub,Kyphosinae,fusiform / normal,0,0,-1,reef-associated,NA,1,15,66.02,90,45,3850,1064,92.71928065,0.228018536,NA,13542.64641,NA,NA,NA,0.01699,3,NA,NA,2.868075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,NA,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyphosidae,2,1,0,1,18.03148924,18.53899294,0.461657763,0.544722336,0.342027804
Mugil trichodon,Mugil,trichodon,NA,NA,fusiform / normal,-1,-1,-1,pelagic-neritic,catadromous,NA,NA,33.32,46,15,190,14701,47.89828703,0.330506415,NA,1279.308496,NA,NA,NA,0.0208,2.85,15.5,2,1.91617,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,0.458333337,0,20.38555551,0,0.511666669,34.83444447,0,29.57444412,0,0,0,0,3.09333335,0,0,0,0.016666667,0,0,0,0,11.125,0,0,Mugilidae,2,0.459597,0.203856688,0.663453688,15.12546071,15.86367363,0.706541448,0.869475677,0.495759623
Nicholsina usta collettei,Nicholsina,collettei,NA,Sparisomatinae,NA,0,0,-1,demersal,NA,20,50,26.56,24,NA,NA,22538,25.25026166,0.473637737,NA,602.7647301,NA,NA,NA,0.034812143,3.02254881,NA,NA,1.08312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,1.067303417,1.323015896,0.710456605
Nicholsina usta usta,Nicholsina,usta,Emerald parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,1,73,26.76,30,18,NA,1151,31.45104115,0.418647824,NA,1170.592465,NA,NA,NA,0.034812143,3.02254881,NA,NA,1.08312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scaridae,2,NA,NA,NA,NA,NA,0.926491759,1.14876936,0.627971736
Scarus iseri,Scarus,iseri,Striped parrotfish,Scarinae,fusiform / normal,0,0,-1,reef-associated,NA,3,25,17.19,35,18,NA,1154,36.60305736,0.375,NA,823.2919191,NA,23.5,8,0.0161,3.011625,NA,NA,1.31655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,NA,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2,1,0,1,23.73283163,21.83500942,0.82675907,1.0104625,0.5625
Sparisoma chrysopterum,Sparisoma,chrysopterum,Redtail parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,1,15,22.7,46,25,NA,1159,47.89828703,0.6,NA,12037.16425,NA,NA,5,0.078165,3.087216667,NA,NA,1.35053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,2,0,0,0,0,0,99.99999619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2,1,0,1,13.82025162,12.87562895,1.041043857,1.72342,0.9
Sparisoma radians,Sparisoma,radians,Bucktooth parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,1,12,17.07,20,15,NA,3676,21.10297181,0.523888192,NA,187.0557424,NA,NA,NA,0.0179,3.0348,NA,NA,1.12435,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,2,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2,1,0,1,30.9519383,27.14509204,1.198100404,1.482244513,0.785832288
Sparisoma viride,Sparisoma,viride,Stoplight parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,3,50,31.37,64,38,1600,1161,66.29209017,0.36,NA,6368.167142,NA,38.075,8.333333333,0.03035,2.92175,16.3,NA,1.12955,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,2,2,0,0.100000001,0,0,0,99.80000305,0,0,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2,0.998,0,0.998,15.04937956,13.31875916,0.682163999,0.962932,0.54
Stegastes diencaeus,Stegastes,diencaeus,Longfin damselfish,Pomacentrinae,short and / or deep,0,0,-1,reef-associated,non-migratory,2,45,24.15,12.5,NA,NA,3649,13.28829142,0.679407074,NA,59.76495064,NA,NA,NA,0.025175,3.0045125,NA,NA,1.503025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,NA,NA,2,9.51000007,10.72333304,8.633333206,4.680000146,1.509999951,39.83000008,0,3.266666651,1.656666666,9.043333213,0,0,0,0,0,1.099999984,10.05000007,0,0,0,0,0,0,0,Pomacentridae,2,0.398286726,0.086330455,0.48461718,21.74968286,20.73308533,1.614048717,1.975037196,1.019110611
Stegastes partitus,Stegastes,partitus,Bicolor damselfish,Pomacentrinae,fusiform / normal,0,0,-1,reef-associated,non-migratory,0,100,20.93,10,NA,NA,3652,10.66841742,0.768648039,NA,31.66960072,NA,NA,NA,0.0182,3.152,NA,NA,1.503025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,NA,2,9.51000007,10.72333304,8.633333206,4.680000146,1.509999951,39.83000008,0,3.266666651,1.656666666,9.043333213,0,0,0,0,0,1.099999984,10.05000007,0,0,0,0,0,0,0,Pomacentridae,2,0.398286726,0.086330455,0.48461718,24.75807876,23.56791579,1.859357836,2.25781504,1.152972058
Acanthurus coeruleus,Acanthurus,coeruleus,Blue tang surgeonfish,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,2,40,58.55,39,25,NA,944,40.71614757,0.1125,NA,1897.823906,NA,29.5,26.66666667,0.0321,2.96425,NA,NA,3.48929,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,NA,2.01,2,0.300000012,0.100000001,0,0,0,99.60000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acanthuridae,2.005,0.996,0,0.996,30.16947536,30.34062992,0.366947746,0.17867875,0.16875
Acanthurus chirurgus,Acanthurus,chirurgus,Doctorfish,Acanthurinae,short and / or deep,0,0,-1,reef-associated,NA,2,25,22.98,39,35,5100,943,40.71614757,0.230769231,NA,1245.867628,NA,33,13,0.025907143,2.908528571,NA,NA,1.867165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.09,2,2,0,0,25.26499939,0,0.050000001,69.84000158,0,0,0,0.240000002,0,0,1.54000001,3.019999886,0,0.045000002,0,0,0,0,0,0,0,0,Acanthuridae,2.03,0.69840001,0.252649992,0.951050001,21.10818166,22.60996234,0.585356872,0.553438462,0.346153846
Kyphosus atlanticus,Kyphosus,atlanticus,NA,Kyphosinae,short and / or deep,0,0,-1,pelagic-neritic,NA,NA,NA,44.86,35.4,NA,NA,67645,37.01468946,0.382026486,NA,1005.715835,NA,NA,NA,0.017195,3.0395,NA,NA,2.7913875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyphosidae,2.045,1,0,1,30.20154065,30.89552611,0.834188828,1.032727326,0.573039729
Scarus taeniopterus,Scarus,taeniopterus,Princess parrotfish,Scarinae,fusiform / normal,0,0,-1,reef-associated,NA,2,25,27.45,35,22,NA,1156,36.60305736,0.38443504,NA,1279.742617,NA,35,NA,0.07895,2.6925,NA,NA,1.05368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2.02,2.12,2,0,0,0,0,0,98.49999619,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2.046666667,0.984999999,0,0.984999999,20.25215846,17.47484615,0.840221077,1.040359312,0.576652561
Sparisoma aurofrenatum,Sparisoma,aurofrenatum,Redband parrotfish,Sparisomatinae,fusiform / normal,0,0,-1,reef-associated,NA,2,20,22.3,28,20,NA,1158,29.38652402,0.428571429,NA,577.089123,NA,26.5,7,0.01442,3.13475,NA,NA,1.201476667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2.02,2.18,2,0,0.899999991,0,0,0,99.100003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scaridae,2.066666667,0.991,0,0.991,24.68822737,22.12522853,0.958697786,1.180214286,0.642857143
Kyphosus sectatrix,Kyphosus,sectatrix,Bermuda sea chub,Kyphosinae,fusiform / normal,0,0,-1,reef-associated,NA,1,30,56.47,76,50,6010,2498,78.50704958,0.250369291,NA,11884.28342,NA,NA,NA,0.0174,3.079,NA,NA,2.7147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,2,2.27,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyphosidae,2.09,1,0,1,17.98351171,18.50238358,0.51389946,0.615545171,0.375553936
Entomacrodus nigricans,Entomacrodus,nigricans,Pearl blenny,Salariinae,elongated,0,0,-1,reef-associated,NA,0,6,20.93,10,NA,NA,3756,10.66841742,0.768648039,NA,14.11085531,NA,6.3,NA,0.020936667,2.751333333,NA,NA,1.032042333,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.04,2.24,2,0,0,0,0,0,96.40000153,0,0,0,3.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blenniidae,2.093333333,0.964000001,0,0.964000001,49.30006904,41.8131827,1.859357836,2.25781504,1.152972058
Microspathodon chrysurus,Microspathodon,chrysurus,Yellowtail damselfish,Pomacentrinae,short and / or deep,0,0,-1,reef-associated,non-migratory,0,120,31.23,21,15,NA,1122,22.1409376,0.509940572,NA,334.4198113,NA,NA,NA,0.0239,3.082,NA,NA,1.08705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.1,2.25,2,3.43,2.289999962,0,0.100000001,0.100000001,92.81999969,0,0,0.209999993,0,0,0,0,0,0,1.039999962,0,0,0,0,0,0,0,0,Pomacentridae,2.116666667,0.92829283,0,0.92829283,25.00174159,21.67601393,1.16160379,1.438048691,0.764910858
Mugil hospes,Mugil,hospes,Hospe mullet,NA,fusiform / normal,0,-1,-1,demersal,NA,NA,NA,35.09,35.5,15,NA,1088,37.1175859,0.381430941,NA,487.2496431,NA,NA,NA,0.05805,2.5,18,2,1.68495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),selective plankton feeding,NA,NA,NA,0.458333337,0,20.38555551,0,0.511666669,34.83444447,0,29.57444412,0,0,0,0,3.09333335,0,0,0,0.016666667,0,0,0,0,11.125,0,0,Mugilidae,2.175,0.459597,0.203856688,0.663453688,17.62134271,18.03883131,0.832698137,1.030840223,0.572146412
Brevoortia patronus,Brevoortia,patronus,Gulf menhaden,Alosinae,fusiform / normal,0,0,-1,pelagic-neritic,NA,0,50,30.7,35,20,NA,1589,36.60305736,0.38443504,NA,966.1672611,NA,NA,NA,0.0085,3.2335,17.85,NA,1.51921,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),filtering plankton,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clupeidae,2.19,NA,NA,NA,NA,NA,0.840221077,1.040359312,0.576652561
Mugil curema,Mugil,curema,White mullet,NA,fusiform / normal,-1,-1,-1,reef-associated,catadromous,0,300,59.24,90,30,680,1086,45.5,0.135,-3.94,932,444.1,31.55,NA,0.020791364,2.895822727,21.97272727,2.625,1.90961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.01,NA,2.42,0.25,0,27.5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.25,0,0,Mugilidae,2.215,0.7225,0.275,0.9975,23.7358986,25.71515628,0.400508519,0.2499745,0.2025
Mugil cephalus,Mugil,cephalus,Flathead grey mullet,NA,fusiform / normal,-1,-1,-1,benthopelagic,catadromous,0,120,50.23,100,50,NA,785,47.825,0.347,-0.3125,1134.25,5650,71.1875,11,0.028231818,2.961863636,33.33333333,4,2.279495,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),variable,NA,2.14,2.48,0.666666673,0,13.27111101,0,1.023333338,19.66888894,0,59.14888824,0,0,0,0,6.186666701,0,0,0,0.033333335,0,0,0,0,0,0,0,Mugilidae,2.31,0.196691076,0.132712586,0.329403662,11.28094932,11.66900689,0.729575779,0.9217389,0.5205
Abudefduf taurus,Abudefduf,taurus,Night sergeant,Pomacentrinae,short and / or deep,0,0,-1,reef-associated,non-migratory,1,5,33.5,25,20,NA,1120,26.28528938,0.463064141,NA,568.9055843,NA,NA,NA,0.02075,3.126,NA,NA,1.45573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.14,2.23,2.619999886,0.300000012,5.400000192,0,0,0.300000004,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pomacentridae,2.329999962,0.939999998,0,0.939999998,24.41891049,22.97285392,1.040032415,1.289511343,0.694596211
