EwE_num,EwE_name,Common,Sciname
12,Small coastal sharks,black dogfish,centroscyllium fabricii
12,Small coastal sharks,blacknose shark,carcharhinus acronotus
12,Small coastal sharks,bonnethead,sphyrna tiburo
12,Small coastal sharks,dogfish shark,squalidae
12,Small coastal sharks,finetooth shark,carcharhinus isodon
12,Small coastal sharks,florida smoothhound,mustelus norrisi
12,Small coastal sharks,"shark, blacknose",carcharhinus acronotus
12,Small coastal sharks,"shark, bonnethead",sphyrna tiburo
12,Small coastal sharks,"shark, finetooth",carcharhinus isodon
12,Small coastal sharks,smalltail shark,carcharhinus porosus
12,Small coastal sharks,smooth dogfish,mustelus canis
12,Small coastal sharks,smoothhound genus,mustelus
12,Small coastal sharks,smoothhound genus,mustelus spp
12,Small coastal sharks,spiny dogfish,squalus acanthias
12,Small coastal sharks,blackspot shark,carcharhinus sealei
12,Small coastal sharks,soupfin shark,galeorhinus galeus
12,Small coastal sharks,gummy shark,mustelus antarcticus
12,Small coastal sharks,common smoothhound,mustelus mustelus
12,Small coastal sharks,whitespot smoothhound,mustelus palumbes
12,Small coastal sharks,narrownose smoothhound,mustelus schmitti
12,Small coastal sharks,smoothhound,mustelus sp
12,Small coastal sharks,port jackson shark,peterodontus portusjacksoni
12,Small coastal sharks,small requiem shark,rhizoprionodon sp
12,Small coastal sharks,bonnethead shark,sphyrna tiburo
12,Small coastal sharks,dogfish,squalidae
12,Small coastal sharks,dogfish,squaliformes
12,Small coastal sharks,shortnose spurdog,squalus megalops
12,Small coastal sharks,dogfish,squalus sp
12,Small coastal sharks,sharptooth houndshark,triakis megalopterus
13,Yellowfin tuna,"tuna, yellowfin",thunnus albacares
13,Yellowfin tuna,yellowfin tuna,thunnus albacares
14,Bluefin tuna,bluefin tuna,thunnus thynnus
14,Bluefin tuna,"tuna, bluefin",thunnus thynnus
14,Bluefin tuna,southern bluefin tuna,thunnus maccoyii
14,Bluefin tuna,atlantic bluefin tuna,thunnus thynnus
15,Other tunas,albacore,thunnus alalunga
15,Other tunas,bigeye tuna,thunnus obesus
15,Other tunas,blackfin tuna,thunnus atlanticus
15,Other tunas,skipjack tuna,euthynnus pelamis
15,Other tunas,skipjack tuna,katsuwonus pelamis
