Group,Sciname,Common,EwE_name,EwE_num
reef-rubble-associated piscivores,SPHYRAENA SP,BARRACUDA,Reef piscivores,45
reef-rubble-associated piscivores,SPHYRAENIDAE,BARRACUDA,Reef piscivores,45
reef-rubble-associated invertebrate feeders,CENTROPRISTIS OCYURUS,BANK SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HEMANTHIAS LEPTUS,"BASS, LONGTAIL",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS SUBLIGARIUS,BELTED SANDFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS ARENATUS,BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHIDAE,BIGEYE FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,BLACK GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ANISOTREMUS SURINAMENSIS,BLACK MARGATE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS STRIATA,BLACK SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS ATROBRANCHUS,BLACKEAR BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES POEYI,BLACKEAR WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,FISTULARIA TABACARIA,BLUESPOTTED CORNETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON SCIURUS,BLUESTRIPED GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,COOKEOLUS JAPONICUS,BULLEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS CRUENTATUS,BULLEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS CROCRO,BURRO GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS UNICOLOR,BUTTER HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON SPP.,BUTTERFLYFISH GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON,BUTTERFLYFISH GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON CARBONARIUM,CAESAR GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGONIDAE,CARDINALFISH FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,GOBIESOCIDAE,CLINGFISH FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,CORNETFISH GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON MELANURUM,COTTONWICK,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PARANTHIAS FURCIFER,CREOLE-FISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,CREOLE FISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CLEPTICUS PARRAE,CREOLE WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EQUETUS UMBROSUS,CUBBYU,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON CAPISTRATUS,FOUREYE BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON FLAVOLINEATUM,FRENCH GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS CRUENTATUS,GLASSEYE SNAPPER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,GLASSY SWEEPER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULIDAE,GRUNT FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON SPP.,GRUNT GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON,GRUNT GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON MELANURUM,"GRUNT, COTTONWICK",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON FLAVOLINEATUM,"GRUNT, FRENCH",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULIDAE,GRUNTS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS BETA,GULF TOADFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EQUETUS ACUMINATUS,HIGH-HAT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,HIGH HAT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PONTINUS RATHBUNI,HIGHFIN SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LACHNOLAIMUS MAXIMUS,HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EQUETUS LANCEOLATUS,JACKKNIFE-FISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS BAJONADO,JOLTHEAD PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS NODOSUS,KNOBBED PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LUTJANUS SYNAGRIS,LANE SNAPPER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS PARDUS,LEOPARD TOADFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS PRORIDENS,LITTLEHEAD PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HEMANTHIAS LEPTUS,LONGTAIL BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON ALBUM,MARGATE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EPINEPHELUS AFER,MUTTON HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS TAU,OYSTER TOADFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES CAUDALIS,PAINTED WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CARAPUS BERMUDENSIS,PEARLFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HEMIPTERONOTUS NOVACULA,PEARLY RAZORFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS BAJONADO,"PORGY, JOLTHEAD",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS NODOSUS,"PORGY, KNOBBED",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS PRORIDENS,"PORGY, LITTLEHEAD",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS LEUCOSTEUS,"PORGY, WHITEBONE",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ANISOTREMUS VIRGINICUS,PORKFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES RADIATUS,PUDDINGWIFE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES RADIATUS,PUDDINGWIFE (WRASSE),Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES PICTUS,RAINBOW WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HEMANTHIAS VIVANUS,RED BARBIER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,RED CORNETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DECODON PUELLARIS,RED HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON SEDENTARIUS,REEF BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ODONTOSCION DENTEX,REEF CROAKER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENODES CARIBBAEUS,REEF SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS PHILADELPHICA,ROCK SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,ROSY RAZORFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON PARRA,SAILORS CHOICE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS CALAMUS,SAUCEREYE PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,SCHOOL BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LUTJANUS APODUS,SCHOOLMASTER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENIDAE,SCORPIONFISH FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NEOMERINTHE HEMINGWAYI,"SCORPIONFISH, SPINYCHEEK",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENA PLUMIERI,"SCORPIONFISH, SPOTTED",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,"SCORPIONFISH, UNIDENTIFIED",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENIDAE,SCORPIONFISHES,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,STENOTOMUS CHRYSOPS,SCUP,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SPARIDAE,SCUPS OR PORGIES,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANIDAE,SEA BASS FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS,SEA BASS GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS SPP.,SEA BASS GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS OCYURUS,"SEA BASS, BANK",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS STRIATA,"SEA BASS, BLACK",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS PHILADELPHICA,"SEA BASS, ROCK",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ARCHOSARGUS RHOMBOIDALIS,SEA BREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ARCHOSARGUS PROBATOCEPHALUS,SHEEPSHEAD,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS PENNA,SHEEPSHEAD PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS PENNATULA,SHEEPSHEAD PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRISTIGENYS ALTA,SHORT BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DIPLODUS ARGENTEUS,SILVER PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES BIVITTATUS,SLIPPERY DICK,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON CHRYSARGYREUM,SMALLMOUTH GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LUTJANUS SYNAGRIS,"SNAPPER, LANE",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LUTJANUS APODUS,"SNAPPER, SCHOOLMASTER",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OCYURUS CHRYSURUS,"SNAPPER, YELLOWTAIL",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,GONIOPLECTRUS HISPANUS,SPANISH FLAG,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON MACROSTOMUM,SPANISH GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BODIANUS RUFUS,SPANISH HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NEOMERINTHE HEMINGWAYI,SPINYCHEEK SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON OCELLATUS,SPOTFIN BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BODIANUS PULCHELLUS,SPOTFIN HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENA PLUMIERI,SPOTTED SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON STRIATUM,STRIPED GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,SUNSHINEFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS PHOEBE,TATTLER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BATRACHOIDIDAE,TOADFISH FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS,TOADFISH GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS SPP.,TOADFISH GENUS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,"TOADFISH, UNIDENTIFIED",Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BATRACHOIDIDAE,TOADFISHES,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS TABACARIUS,TOBACCOFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON AUROLINEATUM,TOMTATE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,AULOSTOMUS MACULATUS,TRUMPETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,MORONE CHRYSOPS,WHITE BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON PLUMIERI,WHITE GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS LEUCOSTEUS,WHITEBONE PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,NA,WRASSE BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LABRIDAE,WRASSE FAMILY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POLYPRION AMERICANUS,WRECKFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,MORONE MISSISSIPPIENSIS,YELLOW BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES GARNOTI,YELLOWHEAD WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OCYURUS CHRYSURUS,YELLOWTAIL SNAPPER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,#N/A,SAND SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ALPHESTES AFER,MUTTON HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,AMBLYCIRRHITUS PINOS,HAWKFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ANTHIAS ANTHIAS,SWALLOWTAIL SEAPERCH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ANTHIAS MENEZESI,SPECTACULAR SEAPERCH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGON MACULATUS,FLAMEFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGON RUEPPELLII,GOBBLEGUTS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGON SP,CARDINALFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGONIDAE,CARDINALFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,APOGONOPS ANOMALUS,THREESPINE CARDINALFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ARCHOSARGUS RHOMBOIDALIS,WESTERN ATLANTIC SEA BREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ARCHOSARGUS SP,SHEEPSHEAD,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,ASTRAPOGON ALATUS,CONCHFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,AULOPIDAE,FLAGFIN,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,AULOPUS PURPURISSATUS,SERGEANT BAKER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,AULOSTOMIDAE,TRUMPETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BATRACHOIDIDAE,TOADFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BEMBROPS ANATIROSTRIS,DUCKBILL FLATHEAD,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BODIANUS DIPLOTAENIA,MEXICAN HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BODIANUS SP,HOGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,BOOPS BOOPS,BOGUE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CAESIONIDAE,FUSILIER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS PENNATULA,PLUMA PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CALAMUS SP,PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CARAPIDAE,PEARLFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTRARCHIDAE,SUNFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CENTROPRISTIS SP,SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON FALCIFER,SCYTHE BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON HUMERALIS,THREEBANDED BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON SP,BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODON STRIATUS,BANDED BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHAETODONTIDAE,BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHEIMERIUS NUFAR,SANTER SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,CHRYSOPHRYS AURATUS,SILVER SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DICENTRARCHUS LABRAX,EUROPEAN SEABASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DINOPERCA PETERSI,LAMPFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DIPLODUS SP,SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DIPLODUS VULGARIS,COMMON TWO-BANDED SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DREPANE LONGIMANUS,CONCERNITA FISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,DULES AURIGA,FAIRY BASSLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EMMELICHTHYS NITIDUS,BONNETMOUTH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EPIGONUS PANDIONIS,BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EPIGONUS SP,CARDINALFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,EQUETUS LANCEOLATUS,JACK-KNIFEFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,FISTULARIA TABACARIA,CORNETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,FISTULARIDAE,CORNETFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,GOBIESOCIDAE,CLINGFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULIDAE,GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON ALBUM,WHITE MARGATE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON AUROLINEATUM,TOMTATE GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON BONARIENSE,BLACK GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON MELANURUM,COTTONWICK GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON PLUMIERII,WHITE GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HAEMULON SP,GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES MACULIPINNA,CLOWN WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HALICHOERES SPP,WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HETEROPRIACANTHUS CRUENTATUS,GLASSEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS ABERRANS,YELLOW-BELLIED HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS CHLORURUS,YELLOWTAIL HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS NIGRICANS,DARK HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS NIGRICANS,DUSKY HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,HYPOPLECTRUS PUELLA,BARRED HAMLET,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,JOHNRANDALLIA NIGRIROSTRIS,BLACKNOSED BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LABRIDAE,WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LATEOLABRAX JAPONICUS,JAPANESE SEABASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LATES CALCARIFER,BARRAMUNDI,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,LUTJANUS APODUS,SCHOOLMASTER SNAPPER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,MICROLEPIDOTUS INORNATUS,WAVYLINE GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,MONOCENTRIDAE,PINECONEFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,MORONIDAE,SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,OPSANUS SP,TOADFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PARALABRAX MACULATOFASCIATUS,SPOTTED SAND BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PARALABRAX SP,KELP BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PARANTHIAS FURCIFER,CREOLEFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PAREQUES ACUMINATUS,HIGHHAT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PAREQUES UMBROSUS,CUBBYU,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PLATYCEPHALIDAE,FLATHEAD,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PLECTORHINCHUS SP,SWEETLIPS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYIDAE,GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYIDAE,SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS COMMERSONNII,SMALLSPOTTED GRUNTER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS CORVINAEFORMIS,ROUGHNECK GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS INCISUS,BASTARD GRUNT,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS OLIVACEUM,OLIVE GRUNTER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,POMADASYS TRIFASCIATUS,BLACK-EAR JAVELIN,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PONTINUS LONGISPINIS,LONGSPINE SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHIDAE,BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS ARENATUS,ATLANTIC BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS HAMRUR,MOONTAIL BULLSEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PRIACANTHUS SP,BIGEYE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,PROGNATHODES ACULEATUS,LONGSNOUT BUTTERFLYFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,RHABDOSARGUS SARBA,GOLDLINED SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,RHABDOSARGUS SP,SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SARPA SALPA,SALEMA PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENA HISTRIO,PLAYER SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENA INERMIS,MUSHROOM SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENA SP,SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENIDAE,SCORPAENIDAE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENIFORMES,SCORPAENIDAE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SCORPAENOPSIS GRANDICORNIS,SCORPIONFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANICULUS PUMILIO,PYGMY SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANID,SEABASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANIDAE,SEA BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS ANNULARIS,ORANGEBACK BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS BALDWINI,LANTERN BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS HEPATUS,BROWN COMBER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS NOTOSPILUS,SADDLE BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS TIGRINUS,HARLEQUIN BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SERRANUS TORTUGARUM,CHALK BASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SPARIDAE,PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SPARUS LATUS,YELLOWFIN SEABREAM,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,STENOTOMUS SP,PORGY,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,SYMPHODUS MEDITERRANEUS,AXILLARY WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,TAUTOGA ONITIS,TAUTOG,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,TAUTOGOLABRUS ADSPERSUS,CUNNER,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,THALASSOMA BIFASCIATUM,BLUEHEAD WRASSE,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,TRIPHOTURUS MEXICANUS,LAMPFISH,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,UNID SEABASS,SEABASS,Reef invertebrate feeders,46
reef-rubble-associated invertebrate feeders,XYRICHTYS NOVACULA,PEARLY RAZORFISH,Reef invertebrate feeders,46
