"","Blacktip shark","Dusky shark","Sandbar shark","Lrg. coastal sharks","Lrg. oceanic sharks","Atl. sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invert. fdrs.","Dem. cstl. invrt. fdrs.","Bnthc. cstl. invrt. fdrs.","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Lrg. oceanic planktivores","Sardine-herring-scad","Menhaden","Anchovy-silverside-killifish","Mullet","Butterfish","Red drum","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Seagrass"
"Name","Depth_Blacktip-shark_grp6","Depth_Dusky-shark_grp7","Depth_Sandbar-shark_grp8","Depth_Lrg.-coastal-sharks_grp9","Depth_Lrg.-oceanic-sharks_grp10","Depth_Atl.-sharpnose-shark_grp11","Depth_Small-coastal-sharks_grp12","Depth_Yellowfin-tuna_grp13","Depth_Bluefin-tuna_grp14","Depth_Other-tunas_grp15","Depth_Billfish_grp16","Depth_Swordfish_grp17","Depth_Pelagic-coastal-piscivores_grp18","Depth_Amberjack_grp19","Depth_King-mackerel-(0-1yr)_grp21","Depth_King-mackerel-(1+yr)_grp22","Depth_Spanish-mackerel-(0-1yr)_grp23","Depth_Spanish-mackerel-(1+yr)_grp24","Depth_Skates-rays_grp25","Depth_Gag-grouper-(0-3yr)_grp26","Depth_Gag-grouper-(3+yr)_grp27","Depth_Red-grouper-(0-3yr)_grp28","Depth_Red-grouper-(3+yr)_grp28","Depth_Yellowedge-grouper-(0-3yr)_grp30","Depth_Yellowedge-grouper-(3+yr)_grp31","Depth_Goliath-grouper_grp32","Depth_Deep-water-grouper_grp33","Depth_Shallow-water-grouper_grp34","Depth_Red-snapper-(0yr)_grp35","Depth_Red-snapper-(1-2yr)_grp36","Depth_Red-snapper-(3+yr)_grp37","Depth_Vermilion-snapper_grp38","Depth_Mutton-snapper_grp39","Depth_Other-snapper_grp40","Depth_Inshore-coastal-piscivores_grp41","Depth_Sea-trout_grp42","Depth_Oceanic-piscivores_grp43","Depth_Benthic-piscivores_grp44","Depth_Reef-piscivores_grp45","Depth_Reef-invert.-fdrs._grp46","Depth_Dem.-cstl.-invrt.-fdrs._grp47","Depth_Bnthc.-cstl.-invrt.-fdrs._grp49","Depth_Tilefish_grp50","Depth_Gray-triggerfish_grp51","Depth_Coastal-omnivores_grp52","Depth_Reef-omnivores_grp53","Depth_Lrg.-oceanic-planktivores_grp55","Depth_Sardine-herring-scad_grp57","Depth_Menhaden_grp58,59,60,61,62","Depth_Anchovy-silverside-killifish_grp63","Depth_Mullet_grp64","Depth_Butterfish_grp65","Depth_Red-drum_grp48","Depth_Pink-shrimp_grp67","Depth_Brown-shrimp_grp68","Depth_White-shrimp_grp69","Depth_Crab_grp70","Depth_Sessile-epifauna_grp71","Depth_Mobile-epifauna_grp72","Depth_Seagrass_grp76"
"8","0.32","0.0315789473684211","0.025","0.8","0","0.2","1","0","0","0","0","0","1","0.333333333333333","0.6","0.6","0.6","0.272727272727273","1","0.4","0","0.4","0","0","0","0.260869565217391","0","0.8","1","0.2","0","0","0.266666666666667","1","0.85","0.7","0","0.0309278350515464","0.111111111111111","0.0882352941176471","1","1","0","0.32","1","0.461538461538462","0.0142857142857143","0.0869565217391304","1","1","1","0","0.85","0.727272727272727","0.296296296296296","0.533333333333333","1","0.942528735632184","1","0.571428571428571"
"9","0.36","0.0421052631578947","0.0333333333333333","0.9","0","0.225","1","0","0","0","0","0","1","0.4","0.8","0.8","0.8","0.363636363636364","1","0.45","0","0.45","0","0","0","0.304347826086957","0","0.9","1","0.266666666666667","0","0","0.3","1","0.8","0.6","0","0.0412371134020619","0.148148148148148","0.117647058823529","1","1","0","0.36","1","0.538461538461539","0.0214285714285714","0.108695652173913","1","1","1","0","0.8","0.818181818181818","0.333333333333333","0.6","1","0.931034482758621","1","0.428571428571429"
"10","0.4","0.0526315789473684","0.0416666666666667","1","0","0.25","1","0","0","0","0","0","1","0.466666666666667","1","1","1","0.454545454545455","1","0.5","0","0.5","0","0","0","0.347826086956522","0","1","1","0.333333333333333","0","0","0.333333333333333","1","0.75","0.5","0","0.0515463917525773","0.185185185185185","0.147058823529412","1","1","0","0.4","1","0.615384615384615","0.0285714285714286","0.130434782608696","1","1","1","0","0.75","0.909090909090909","0.37037037037037","0.666666666666667","1","0.919540229885057","1","0.285714285714286"
"11","0.44","0.0631578947368421","0.05","1","0","0.275","1","0.0333333333333333","0.0333333333333333","0.0181818181818182","0","0","1","0.533333333333333","1","1","1","0.545454545454545","1","0.55","0.0192307692307692","0.55","0.0192307692307692","0","0","0.391304347826087","0","1","1","0.4","0","0","0.366666666666667","1","0.7","0.4","0","0.0618556701030928","0.222222222222222","0.176470588235294","1","1","0","0.44","1","0.692307692307692","0.0357142857142857","0.152173913043478","1","1","1","0","0.7","1","0.407407407407407","0.733333333333333","1","0.908045977011494","0.988888888888889","0.142857142857143"
"12","0.48","0.0736842105263158","0.0583333333333333","1","0","0.3","1","0.0666666666666667","0.0666666666666667","0.0363636363636364","0","0","1","0.6","1","1","1","0.636363636363636","1","0.6","0.0384615384615385","0.6","0.0384615384615385","0","0","0.434782608695652","0","1","1","0.466666666666667","0","0","0.4","1","0.65","0.3","0","0.0721649484536082","0.259259259259259","0.205882352941176","1","1","0","0.48","1","0.769230769230769","0.0428571428571429","0.173913043478261","1","1","1","0","0.65","1","0.444444444444444","0.8","1","0.896551724137931","0.977777777777778","0"
"13","0.52","0.0842105263157895","0.0666666666666667","1","0","0.325","1","0.1","0.1","0.0545454545454545","0","0","1","0.666666666666667","1","1","1","0.727272727272727","1","0.65","0.0576923076923077","0.65","0.0576923076923077","0","0","0.478260869565217","0","1","1","0.533333333333333","0","0","0.433333333333333","1","0.6","0.2","0","0.0824742268041237","0.296296296296296","0.235294117647059","1","1","0","0.52","1","0.846153846153846","0.05","0.195652173913043","1","1","1","0.0133333333333333","0.6","1","0.481481481481481","0.866666666666667","1","0.885057471264368","0.966666666666667","0"
"14","0.56","0.0947368421052632","0.075","1","0","0.35","1","0.133333333333333","0.133333333333333","0.0727272727272727","0","0","1","0.733333333333333","1","1","1","0.818181818181818","1","0.7","0.0769230769230769","0.7","0.0769230769230769","0","0","0.521739130434783","0","1","1","0.6","0","0","0.466666666666667","1","0.55","0.1","0","0.0927835051546392","0.333333333333333","0.264705882352941","1","1","0","0.56","1","0.923076923076923","0.0571428571428571","0.217391304347826","1","1","1","0.0266666666666667","0.55","1","0.518518518518518","0.933333333333333","1","0.873563218390805","0.955555555555556","0"
"15","0.6","0.105263157894737","0.0833333333333333","1","0","0.375","1","0.166666666666667","0.166666666666667","0.0909090909090909","0","0","1","0.8","1","1","1","0.909090909090909","1","0.75","0.0961538461538462","0.75","0.0961538461538462","0","0","0.565217391304348","0","1","1","0.666666666666667","0","0","0.5","1","0.5","0","0","0.103092783505155","0.37037037037037","0.294117647058824","1","1","0","0.6","1","1","0.0642857142857143","0.239130434782609","1","1","1","0.04","0.5","1","0.555555555555556","1","1","0.862068965517241","0.944444444444445","0"
"16","0.64","0.115789473684211","0.0916666666666667","1","0","0.4","1","0.2","0.2","0.109090909090909","0","0","1","0.866666666666667","1","1","1","1","1","0.8","0.115384615384615","0.8","0.115384615384615","0","0","0.608695652173913","0","1","1","0.733333333333333","0","0","0.533333333333333","1","0.45","0","0","0.11340206185567","0.407407407407407","0.323529411764706","1","1","0","0.64","1","1","0.0714285714285714","0.260869565217391","1","1","1","0.0533333333333333","0.45","1","0.592592592592593","1","1","0.850574712643678","0.933333333333333","0"
"17","0.68","0.126315789473684","0.1","1","0","0.425","1","0.233333333333333","0.233333333333333","0.127272727272727","0","0","1","0.933333333333333","1","1","1","1","1","0.85","0.134615384615385","0.85","0.134615384615385","0","0","0.652173913043478","0","1","1","0.8","0","0","0.566666666666667","1","0.4","0","0","0.123711340206186","0.444444444444444","0.352941176470588","1","1","0","0.68","1","1","0.0785714285714286","0.282608695652174","1","1","1","0.0666666666666667","0.4","1","0.62962962962963","1","1","0.839080459770115","0.922222222222222","0"
