"","Coastal dolphins","Offshore dolphins","Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","Cobia","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Sardine-herring-scad","Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)","Anchovy-silverside-killifish","Mullet","Butterfish","Cephalopod","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Zooplankton","Infauna","Algae","Seagrass","Detritus"
"Name","Sal_1_Coastal-dolphins","Sal_2_Offshore-dolphins","Sal_5_Sea-turtle","Sal_6_Blacktip-shark","Sal_7_Dusky-shark","Sal_8_Sandbar-shark","Sal_9_Large-coastal-sharks","Sal_10_Large-oceanic-sharks","Sal_11_Atlantic-sharpnose-shark","Sal_12_Small-coastal-sharks","Sal_13_Yellowfin-tuna","Sal_14_Bluefin-tuna","Sal_15_Other-tunas","Sal_16_Billfish","Sal_17_Swordfish","Sal_18_Pelagic-coastal-piscivores","Sal_19_Amberjack","Sal_20_Cobia","Sal_21_King-mackerel-(0-1yr)","Sal_22_King-mackerel-(1+yr)","Sal_23_Spanish-mackerel-(0-1yr)","Sal_25_Spanish-mackerel-(1+yr)","Sal_25_Skates-rays","Sal_26_Gag-grouper-(0-3yr)","Sal_27_Gag-grouper-(3+yr)","Sal_28_Red-grouper-(0-3yr)","Sal_28_Red-grouper-(3+yr)","Sal_30, 31_Yellowedge-grouper","Sal_32_Goliath-grouper","Sal_33_Deep-water-grouper","Sal_34_Shallow-water-grouper","Sal_35_Red-snapper-(0yr)","Sal_36_Red-snapper-(1-2yr)","Sal_37_Red-snapper-(3+yr)","Sal_38_Vermilion-snapper","Sal_39_Mutton-snapper","Sal_40_Other-snapper","Sal_41_Inshore-coastal-piscivores","Sal_42_Sea-trout","Sal_43_Oceanic-piscivores","Sal_44_Benthic-piscivores","Sal_45_Reef-piscivores","Sal_46_Reef-invertebrate-feeders","Sal_47_Demersal-coastal-invertebrate-feeders","Sal_48_Red-drum","Sal_49_Benthic-coastal-invertebrate-feeders","Sal_50_Tilefish","Sal_51_Gray-triggerfish","Sal_52_Coastal-omnivores","Sal_53_Reef-omnivores","Sal_54_Surface-pelagics","Sal_55_Large-oceanic-planktivores","Sal_57_Sardine-herring-scad","Sal_58_Menhaden-(0yr)","Sal_59_Menhaden-(1yr)","Sal_60_Menhaden-(2yr)","Sal_61_Menhaden-(3yr)","Sal_62_Menhaden-(4yr)","Sal_63_Anchovy-silverside-killifish","Sal_64_Mullet","Sal_65_Butterfish","Sal_66_Cephalopod","Sal_67_Pink-shrimp","Sal_68_Brown-shrimp","Sal_69_White-shrimp","Sal_70_Crab","Sal_71_Sessile-epifauna","Sal_72_Mobile-epifauna","Sal_73_Zooplankton","Sal_74_Infauna","Sal_75_Algae","Sal_76_Seagrass","Sal_78_Detritus"
"Left_limit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Right_limit","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37","37"
"1","0.0707376612958439","0.0707376612958439","0.0227224921764375","0.00442152135973177","0.00400725165003215","0.0029756216242984","0.00230051638688922","0.0319811766034856","0.00293644810086599","0.00421012678085004","0.066923925755022","0.122747370539922","0.0334110421222822","0.014312953447593","0.0902485765181804","0.00347487879030189","0.00587980441436056","0.0081262955587827","0.00565714781261685","0.00565714781261685","0.000491800546959399","0.000491800546959399","0.00221294270918132","0.00144124455649957","0.00144124455649957","0.00144124455649957","4.61752071138228e-07","1.81155860407542e-06","8.08743452435651e-07","0.000816499641814947","2.17711997526619e-05","0.00528481169452197","0.00528481169452197","0.00528481169452197","0.00591801971759404","0.00550324485978563","0.000613193834980755","0.00052755516576452","0.00054243370244634","0.0175512611664725","0.00144392693820856","0.000116089798463696","0.000103653547165956","0.000976786795932395","0.00013576448338469","0.00197125449963602","0.000442233755110214","0.0802760312152174","0.00143819022633229","0.000113909281212085","0.00302408267435428","0.00976690304217478","0.00145401334923029","3.16706210360545e-06","3.16706210360545e-06","3.16706210360545e-06","3.16706210360545e-06","3.16706210360545e-06","0.00111376250371727","0.00880292783387574","0.00211744093841232","0.026119151457326","0.000505495203884237","0.00163914652076022","9.60691418900127e-06","0.0010767576946844","0.0671493432051961","0.00236143285295479","0.089384950556988","0.0111327534916209","0.291813486813019","8.4566296652438e-08","0.0843503472474543"
"2","0.0711965760335674","0.0711965760335674","0.0228874971157217","0.00445611314328617","0.004044609767558","0.00300441366977678","0.00232128791809732","0.0322208900767689","0.00296004382142965","0.00425425557115398","0.0673058095097582","0.123647532347109","0.0336290622147118","0.0144092647671489","0.0907598472513489","0.00350642288401513","0.00593340524484782","0.0081839536170423","0.00570071268217987","0.00570071268217987","0.000498413317682937","0.000498413317682937","0.00223453414405545","0.00145426896817836","0.00145426896817836","0.00145426896817836","4.69264008311834e-07","1.83789576707276e-06","8.21142163129473e-07","0.000823931576981107","2.20384017945734e-05","0.00532440483376175","0.00532440483376175","0.00532440483376175","0.00596173929146017","0.00554356392960047","0.000618600573683439","0.000534975761279476","0.000548860632931072","0.0177126395517551","0.00145859545661997","0.000117333793405401","0.000104842975342758","0.000987150449943538","0.00013780779972334","0.00199294139861802","0.000446846292305619","0.0808587469876416","0.00145070642619849","0.000115141223771365","0.00304959776871168","0.00985385795278599","0.00146890738884373","3.22217294898004e-06","3.22217294898004e-06","3.22217294898004e-06","3.22217294898004e-06","3.22217294898004e-06","0.00112639821905317","0.0088755343308272","0.0021385912076375","0.0263381600284324","0.000510512768029834","0.00165684675344466","9.78760497206871e-06","0.0010875243246846","0.0676761780899135","0.00238429623406426","0.0898468330762922","0.0112323741268864","0.293578356402195","8.62543109076999e-08","0.0849789245070278"
"3","0.0716582384239124","0.0716582384239124","0.0230536720130396","0.00449097433496161","0.00408231473343457","0.00303348345879221","0.00234224655668855","0.0324623400575465","0.00298382857712922","0.00429884490421233","0.0676897143000377","0.124553358187416","0.0338484551537751","0.0145062146242825","0.0912737238117155","0.00353825231053127","0.00598749176239634","0.00824201737393588","0.00574461110023913","0.00574461110023913","0.000505114959063502","0.000505114959063502","0.00225633576776266","0.00146741090745845","0.00146741090745845","0.00146741090745845","4.76898152134239e-07","1.86461582955775e-06","8.33730956226116e-07","0.000831431102746184","2.23088831843937e-05","0.00536429300013455","0.00536429300013455","0.00536429300013455","0.0060057798938857","0.00558417673509446","0.000624054955672229","0.000542500678299881","0.00055536366946025","0.0178754747631705","0.00147341276922642","0.000118591117165759","0.000106046050803068","0.000997623951948146","0.000139881864586566","0.00201486640591158","0.000451506916940864","0.0814453180634052","0.00146333139171162","0.000116386488386543","0.00307532747752817","0.00994157925220978","0.00148395376732513","3.2782427889123e-06","3.2782427889123e-06","3.2782427889123e-06","3.2782427889123e-06","3.2782427889123e-06","0.00113917712399746","0.0089487342791233","0.00215995228114538","0.026558954901638","0.000515580111012062","0.00167473780048234","9.97169422761886e-06","0.0010983984931386","0.0682068441532109","0.00240738044414894","0.0903108655970366","0.0113328759937577","0.295349448290847","8.79760193412351e-08","0.0856117479529141"
"4","0.0721226619330394","0.0721226619330394","0.0232210247520796","0.00452610701379079","0.00412036974120918","0.00306283365412672","0.00236339398011666","0.0327055382191645","0.00300780387324896","0.00434389954432891","0.0680756490143403","0.125464869938951","0.0340692289321898","0.0146038071236983","0.0917902161834267","0.00357036963229337","0.0060420683140126","0.00830048963567194","0.0057888455906","0.0057888455906","0.000511906664239286","0.000511906664239286","0.00227834961711346","0.00148067143172645","0.00148067143172645","0.00148067143172645","4.84656490701229e-07","1.8917243582449e-06","8.46512745839792e-07","0.000838998832791377","2.25826841674736e-05","0.00540447836797047","0.00540447836797047","0.00540447836797047","0.00605014385321819","0.00562508539182336","0.000629557400244598","0.00055013138181145","0.000561943712253321","0.0180397794535113","0.00148838038087331","0.000119861912522705","0.000107262930099932","0.00100820846392119","0.000141987140558226","0.00203703212513791","0.000456216129889967","0.0820357645005877","0.0014760660652537","0.000117645219086755","0.00310127359473253","0.0100300735561383","0.00149915403815474","3.33528831094301e-06","3.33528831094301e-06","3.33528831094301e-06","3.33528831094301e-06","3.33528831094301e-06","0.00115210083746338","0.00902253243981744","0.00218152625083739","0.0267815498036906","0.00052069772617007","0.00169282171195338","1.01592458735921e-05","0.00110938127177488","0.0687413645016049","0.00243068760572149","0.0907770556777526","0.0114342667038859","0.297126730747569","8.97320945169411e-08","0.0862488397287965"
"5","0.0725898600540927","0.0725898600540927","0.0233895632636522","0.00456151327454927","0.00415877801333245","0.00309246694377051","0.00238473188072926","0.0329504962998074","0.00303197122691201","0.00438942430420777","0.0684636225594743","0.126382089358013","0.0342913915806696","0.0147020463947487","0.0923093343511005","0.00360277743441849","0.00609713928462289","0.00835937322718031","0.00583341869570117","0.00583341869570117","0.000518789642334096","0.000518789642334096","0.0023005777484727","0.00149405160782517","0.00149405160782517","0.00149405160782517","4.9254104445149e-07","1.91922700077874e-06","8.59490490760264e-07","0.000846635386350914","2.28598454830249e-05","0.00544496312726251","0.00544496312726251","0.00544496312726251","0.00609483351426321","0.00566629203022107","0.000635108330378825","0.00055786935732721","0.000568601672153924","0.0182055663762558","0.00150349981153379","0.000121146323782873","0.000108493771581506","0.00101890516007909","0.000144124097177379","0.00205944118815206","0.000460974437234451","0.0826301063817868","0.00148891139732308","0.000118917561457551","0.0031274379290581","0.0101193475348871","0.00151450977055838","3.3933264929903e-06","3.3933264929903e-06","3.3933264929903e-06","3.3933264929903e-06","3.3933264929903e-06","0.00116517099658264","0.00909693361067658","0.0022033152291895","0.0270059585526299","0.000525866111722079","0.00171110055981252","1.03503250300386e-05","0.00112047374295496","0.0692797623058485","0.00245421986149302","0.0912454108779493","0.0115365539313682","0.298910171367288","9.1523222423648e-08","0.086890221995374"
"6","0.0730598463066904","0.0730598463066904","0.0235592955258827","0.00459719522786983","0.00419754280141044","0.00312238604115433","0.00240626196589738","0.0331972261026464","0.00305633216717108","0.00443542404542602","0.0688536438603526","0.127305038075372","0.0345149511679893","0.0148009365915586","0.092831088299316","0.00363547832489218","0.00615270909738591","0.00841867099222716","0.00587833297674491","0.00587833297674491","0.000525765118670632","0.000525765118670632","0.00232302223794369","0.00150755251213718","0.00150755251213718","0.00150755251213718","5.00553866692765e-07","1.94712948691043e-06","8.7266719513772e-07","0.000854341388261949","2.31404083701793e-05","0.00548574948377398","0.00548574948377398","0.00548574948377398","0.0061398512383942","0.00570779879569892","0.000640708172766132","0.000565716111173835","0.000575338470754705","0.0183728483861967","0.00151877259645894","0.000122444496797948","0.000109738735411617","0.0010297152270076","0.000146293211042738","0.00208209625534388","0.000465782350317272","0.0832283638128177","0.00150186834660351","0.000120203662657697","0.00315382230416164","0.0102094079138022","0.00153002254966498","3.45237460840232e-06","3.45237460840232e-06","3.45237460840232e-06","3.45237460840232e-06","3.45237460840232e-06","0.00117838925690844","0.0091719426264396","0.00222532134945086","0.0272321950581512","0.000531085770813432","0.00172957643811919","1.05449980417248e-05","0.00113167699977793","0.0698220607998103","0.00247797937456141","0.0917159387577984","0.0116397454132004","0.300699737070904","9.33501027430893e-08","0.0875359169286625"
"7","0.0735326342364058","0.0735326342364058","0.0237302295644034","0.00463315500035782","0.00423666738645891","0.00315259368538393","0.00242798595814621","0.0334457394959866","0.00308088823509984","0.00448190367891115","0.0692457218597661","0.128233737592519","0.034739915801049","0.0149004818931497","0.0933554880120961","0.00366847493476448","0.00620878221400775","0.00847838579353062","0.0059235910138284","0.0059235910138284","0.000532834334986597","0.000532834334986597","0.00234568518155399","0.00152117523066905","0.00152117523066905","0.00152117523066905","5.08697044136582e-07","1.9754376296914e-06","8.860459091782e-07","0.000862117469014914","2.34244145741226e-05","0.00552683965914651","0.00552683965914651","0.00552683965914651","0.00618519940366316","0.00574960784874561","0.000646357357843114","0.000573673170781945","0.000582155040523577","0.0185416384400716","0.00153420028632939","0.000123756578981193","0.000110997983590565","0.001040639863791","0.000148494965918693","0.00210500001594204","0.000470640385797328","0.0838305569213883","0.00151493788003375","0.00012150367143616","0.00318042855874321","0.0103002614736677","0.00154569397666579","3.51245023109785e-06","3.51245023109785e-06","3.51245023109785e-06","3.51245023109785e-06","3.51245023109785e-06","0.00119175729262081","0.00924756435907721","0.00224754676584433","0.0274602733219655","0.000536357211565112","0.00174825146327004","1.07433325011644e-05","0.00114299214618597","0.0703682832793267","0.00250196832860122","0.0921886468778169","0.0117438489497321","0.302495394105058","9.52134491232244e-08","0.0881859467182689"
